crop_key,area,item,element,year,unit,value,flag,note
soybean,Bangladesh,Soya beans,Import quantity,2024,t,2031230.530000,X,Estimated data using trading partners database
soybean,Bangladesh,Soya beans,Import value,2022,1000 USD,1231530.000000,X,Estimated data using trading partners database
soybean,Bangladesh,Soya beans,Import value,2023,1000 USD,1076607.000000,X,Estimated data using trading partners database
soybean,Bangladesh,Soya beans,Import value,2024,1000 USD,1003315.000000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import quantity,2022,t,4169796.490000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import quantity,2023,t,2969596.690000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import quantity,2024,t,2899634.770000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import value,2022,1000 USD,1592061.000000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import value,2023,1000 USD,920302.000000,X,Estimated data using trading partners database
wheat,Bangladesh,Wheat,Import value,2024,1000 USD,759955.000000,X,Estimated data using trading partners database
