division,zilla,union,latitude,longitude
Khulna,Meherpur,Meherpur Sadar,23.7700,88.6300
Khulna,Kushtia,Kushtia Sadar,23.9100,89.1300
Khulna,Magura,Magura Sadar,23.4200,89.4200
Khulna,Narail,Narail Sadar,23.1700,89.5100
Khulna,Jhenaidah,Jhenaidah Sadar,23.5400,89.1500
Khulna,Khulna,Digholia,22.7833,89.4833
Khulna,Bagerhat,Rampal,22.5500,89.6667
Sylhet,Sylhet,Sylhet Sadar,24.8945,91.8687
Sylhet,Sylhet,Beanibazar,24.8236,92.1562
Sylhet,Sylhet,Zakiganj,24.7833,92.1333
Sylhet,Habiganj,Habiganj Sadar,24.3833,91.4167
Sylhet,Moulvibazar,Moulvibazar Sadar,24.4800,91.7700
Sylhet,Sunamganj,Sunamganj Sadar,25.0700,91.4000
Sylhet,Sylhet,Bishwanath,24.7833,91.7000
Sylhet,Sylhet,Dakshin Surma,24.9000,91.8333
Sylhet,Habiganj,Lakhai,24.3000,91.3000
Sylhet,Moulvibazar,Kamalganj,24.3500,91.8000
Sylhet,Sunamganj,Dharampasha,25.1167,91.5333
Barisal,Barisal,Barisal Sadar,22.7010,90.3533
Barisal,Barisal,Bakerganj,22.5500,90.1667
Barisal,Bhola,Bhola Sadar,22.6900,90.6400
Barisal,Patuakhali,Patuakhali Sadar,22.3600,90.3300
Barisal,Pirojpur,Pirojpur Sadar,22.5800,90.0000
Barisal,Jhalokati,Jhalokati Sadar,22.6400,90.1900
Barisal,Barguna,Barguna Sadar,22.1600,90.1200
Barisal,Barisal,Agailjhara,22.5333,90.0833
Barisal,Bhola,Char Fasson,22.1833,90.6833
Barisal,Patuakhali,Dumki,22.4167,90.2333
Barisal,Pirojpur,Nesarabad,22.7333,89.9167
Mymensingh,Mymensingh,Mymensingh Sadar,24.7500,90.4000
Mymensingh,Mymensingh,Islampur,24.9333,90.1667
Mymensingh,Jamalpur,Jamalpur Sadar,24.9300,89.9500
Mymensingh,Netrakona,Netrakona Sadar,24.8800,90.7300
Mymensingh,Sherpur,Sherpur Sadar,25.0200,90.0200
Mymensingh,Mymensingh,Fulbaria,24.6333,90.3500
Mymensingh,Jamalpur,Madalganj,24.8667,89.7833
Mymensingh,Netrakona,Mohanganj,24.8667,90.9167
Mymensingh,Sherpur,Nakla,25.0833,89.9167
Mymensingh,Mymensingh,Bhaluka,24.9333,90.5333
Rangpur,Rangpur,Rangpur Sadar,25.7500,89.2500
Rangpur,Rangpur,Gangachara,25.8667,89.2167
Rangpur,Dinajpur,Dinajpur Sadar,25.6300,88.6300
Rangpur,Kurigram,Kurigram Sadar,25.8100,89.6400
Rangpur,Gaibandha,Gaibandha Sadar,25.3300,89.5400
Rangpur,Lalmonirhat,Lalmonirhat Sadar,25.9200,89.4700
Rangpur,Nilphamari,Nilphamari Sadar,25.9300,88.8500
Rangpur,Panchagarh,Panchagarh Sadar,26.3400,88.5500
Rangpur,Thakurgaon,Thakurgaon Sadar,26.0300,88.4700
Rangpur,Rangpur,Mithapukur,25.5667,89.2833
Rangpur,Dinajpur,Birganj,25.7167,88.7167
Rangpur,Kurigram,Rajarhat,25.7667,89.8333
Rangpur,Gaibandha,Sundarganj,25.5000,89.6167
Rangpur,Lalmonirhat,Hatibandha,26.1167,89.3500
Rangpur,Nilphamari,Saidpur,25.8000,88.9167
Faridpur,Faridpur,Faridpur Sadar,23.5500,89.8300
Faridpur,Faridpur,Boalmari,23.4333,89.6667
Faridpur,Pabna,Pabna Sadar,24.0100,89.2400
Faridpur,Pabna,Ishwardi,24.1333,89.0667
Faridpur,Pabna,Bera,24.1333,89.3500
